,match
568,EUN1_3307953756
569,EUN1_3307945620
570,EUN1_3307939453
571,EUN1_3307928023
572,EUN1_3307927331
573,EUN1_3307922529
574,EUN1_3307344071
575,EUN1_3307329321
576,EUN1_3307315800
577,EUN1_3307294837
578,EUN1_3307280689
579,EUN1_3307270148
580,EUN1_3306677185
581,EUN1_3306619024
582,EUN1_3306616355
583,EUN1_3306048674
584,EUN1_3305978121
585,EUN1_3305669904
586,EUN1_3298301900
587,EUN1_3298253913
588,EUN1_3298152305
589,EUN1_3298116595
590,EUN1_3298098703
591,EUN1_3297680787
592,EUN1_3297588299
593,EUN1_3297546549
594,EUN1_3303754803
595,EUN1_3303732198
596,EUN1_3302984748
597,EUN1_3302271286
598,EUN1_3302265540
599,EUN1_3301598004
600,EUN1_3301591318
601,EUN1_3301581045
602,EUN1_3301571890
603,EUN1_3301564940
604,EUN1_3301555810
605,EUN1_3300270760
606,EUN1_3299444020
607,EUN1_3299428867
608,EUN1_3299407058
609,EUN1_3299356920
610,EUN1_3299279070
611,EUN1_3299193483
612,EUN1_3299061054
613,EUN1_3298633013
614,EUN1_3298630621
615,EUN1_3298619032
616,EUN1_3298605965
617,EUN1_3297893106
618,EUN1_3297883690
619,EUN1_3297874583
620,EUN1_3297819150
621,EUN1_3297774012
622,EUN1_3297740239
623,EUN1_3297679176
624,EUN1_3297200397
625,EUN1_3297184093
626,EUN1_3297167237
627,EUN1_3297118849
628,EUN1_3296095260
629,EUN1_3296061759
630,EUN1_3295801693
631,EUN1_3295792380
632,EUN1_3295782822
633,EUN1_3295758674
634,EUN1_3295727884
635,EUN1_3295664898
636,EUN1_3295065848
637,EUN1_3295051784
638,EUN1_3294931830
639,EUN1_3294706250
640,EUN1_3294671241
641,EUN1_3294542712
642,EUN1_3294497117
643,EUN1_3294459191
644,EUN1_3293974136
645,EUN1_3293940779
646,EUN1_3293871252
647,EUN1_3293787524
648,EUN1_3293187435
649,EUN1_3293079517
650,EUN1_3293037005
651,EUN1_3292969447
652,EUN1_3292927646
653,EUN1_3292892537
654,EUN1_3292878268
655,EUN1_3292847700
656,EUN1_3292819419
657,EUN1_3292774747
658,EUN1_3292753508
659,EUN1_3292724211
660,EUN1_3292717167
661,EUN1_3292466055
662,EUN1_3292399704
663,EUN1_3292367445
664,EUN1_3292297872
665,EUN1_3292088539
666,EUN1_3292071252
667,EUN1_3292060570
668,EUN1_3291777708
669,EUN1_3291755132
670,EUN1_3291629194
671,EUN1_3291598485
672,EUN1_3291577351
673,EUN1_3291491735
